ID;nombre;genero;codigo
103;Forrest Gump;drama;1380
104;Finding Nemo;infantil;3285
105;The Matrix;ficcion;4736
106;Chicago;musical;4567
107;Avatar;ficcion;2300
108;The Imitation Game;drama;2372
109;La La Land;musical;3253
110;Spider-Man;accion;3307
111;Free Solo;documental;4602
112;Goodfellas;drama;3338
113;Titanic;drama;4491
114;Inside Job;documental;4146
115;Snow White and the Seven Dwarfs;infantil;2386
116;Gladiator;accion;1810
117;The Dark Knight;accion;3843
118;E.T. the Extra-Terrestrial;ficcion;1807
119;The Martian;ficcion;2567
120;Super Size Me;documental;2791
121;Moulin Rouge!;musical;3396
122;Toy Story;infantil;2859
123;Aladdin;infantil;1084
124;Planet Earth;documental;1191
125;Schindler's List;drama;2288
126;Back to the Future;ficcion;3789
127;Pulp Fiction;ficcion;1226
128;Moana;infantil;3824
129;The Princess and the Frog;infantil;2790
130;Apollo 13;drama;4274
131;Madagascar;infantil;1436
132;Sonic the Hedgehog;infantil;3688
133;The Last Dance;documental;1814
134;Mad Max: Fury Road;accion;3855
135;Happy Feet;infantil;4504
136;The Social Network;drama;3568
137;Gravity;ficcion;2362
138;Amadeus;drama;3861
139;Up;infantil;4246
140;Bowling for Columbine;documental;4615
141;Minions;infantil;1599
142;2001: A Space Odyssey;ficcion;3423
143;Rocky;accion;3362
144;The Godfather;drama;2191
145;Jurassic Park;ficcion;1196
146;The Avengers;accion;1889
147;Die Hard;accion;2959
148;Terminator 2;accion;2233
149;Zootopia;infantil;1962
150;The Lion King;infantil;3182
151;Megamind;infantil;2218
152;The Departed;drama;1042
153;March of the Penguins;documental;3014
154;Kung Fu Panda;infantil;2683
155;Beauty and the Beast;infantil;2694
156;The Incredibles;infantil;4497
157;The Theory of Everything;drama;1728
158;Aliens;ficcion;4172
159;The Shawshank Redemption;drama;1753
160;Star Wars;ficcion;2314
161;Cars;infantil;4774
162;Sleeping Beauty;infantil;2508
163;Coco;infantil;1095
164;The Sound of Music;musical;1381
165;Brave;infantil;2648
166;WALL-E;infantil;3283
167;Won't You Be My Neighbor?;documental;4302
168;Ice Age;infantil;2833
169;A Beautiful Mind;drama;1437
170;The Secret Life of Pets;infantil;1758
171;Les Misérables;musical;3210
172;Shrek;infantil;2756
173;Snow White and the Seven Dwarfs;infantil;4659
174;Blackfish;documental;3088
175;The Lord of the Rings;ficcion;2488
176;Avatar;ficcion;2640
177;Bowling for Columbine;documental;3892
178;The Godfather;drama;3752
179;Forrest Gump;drama;3927
180;The Pursuit of Happyness;drama;2117
181;Won't You Be My Neighbor?;documental;3854
182;A Beautiful Mind;drama;4927
183;Cinderella;infantil;3546
184;The Incredibles;infantil;1997
185;Fahrenheit 9/11;documental;4670
186;Toy Story;infantil;1530
187;Frozen;infantil;2759
188;Madagascar;infantil;4895
189;Chicago;musical;2347
190;Big Hero 6;infantil;1994
191;Ice Age;infantil;1129
192;Aladdin;infantil;2990
193;March of the Penguins;documental;1117
194;Jurassic Park;ficcion;2765
195;Mad Max: Fury Road;accion;4778
196;Goodfellas;drama;1713
197;The Princess and the Frog;infantil;1108
198;Amadeus;drama;2014
199;A Star Is Born;musical;4338
200;Rocky;accion;2985
